--------- beginning of /dev/log/system
01-01 08:00:02.852 I/Vold    ( 1569): Vold 2.1 (the revenge) firing up
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-85] :the service.vold.status is Normal
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-122] :defaultVolume = /storage/emulated/0 
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-139] :bind mount /mnt/sdcard to /storage/emulated/0 ok !
01-01 08:00:02.853 D/VoldCmdListener( 1569): [-vold_debug-785] :IsoMountCmd created!
12-18 16:57:54.047 I/System.out( 3605): D Tag:PushHandle msg:start
12-18 16:57:54.048 I/System.out( 3605): D Tag:HooReport msg:====requrl==http://183.235.11.107:9090/report/bind/page_view_epg?log=V1.1%7C20201218165754%7C2.52%7Cydtest5%7Cydtest5%7C24400%7Cnull%7Cnull%7Cnull%7Cnull
12-18 16:57:54.049 I/System.out( 3002): RxCache: ProcessorProvidersBehaviour-getDataFromLoader
12-18 16:57:54.049 I/System.out( 3002): RxCache: ProcessorProvidersBehaviour-getDataFromLoader clear cache before save data
12-18 16:57:54.049 I/System.out( 3002): RxCache: ProcessorProvidersBehaviour-getDataFromLoader save data
12-18 16:57:54.050 I/System.out( 3605): D Tag:HRPush msg:initPush = cn.gd.snm.snmcm.OTTApplication@418adc88
12-18 16:57:54.050 I/System.out( 3605): D Tag:PushHandle msg:bean.authData.allocServer:null
12-18 16:57:54.050 I/System.out( 3605): D Tag:PushHandle msg:bean.authData.serverHost:MTgzLjIzNS4xMS4xMjA6MTMwMDAsMTgzLjIzNS4xMS4xMjE6MTMwMDAsMTgzLjIzNS4xMS4xMjI6MTMwMDAsMTgzLjIzNS4xMS4xMjM6MTMwMDAsMTgzLjIzNS4xMS4xMjQ6MTMwMDAsMTgzLjIzNS4xMS4xMjU6MTMwMDAsMTgzLjIzNS4xMS44NjoxMzAwMCwxODMuMjM1LjExLjg3OjEzMDAwLDE4My4yMzUuMTEuODg6MTMwMDAsMTgzLjIzNS4xMS44OToxMzAwMCwxODMuMjM1LjExLjkwOjEzMDAwLDE4My4yMzUuMTEuOTE6MTMwMDAsMTgzLjIzNS4xMS45MjoxMzAwMCwxODMuMjM1LjExLjkzOjEzMDAw
12-18 16:57:54.053 I/System.out( 3002): RxCache: Disk-save- key:index-section$d$d$d$http://183.235.11.39:8082/epg/api/page/biz_40574399.json$g$g$g$
12-18 16:57:54.055 D/pcapcmcc4( 3047): add_tcp_node_to_list_new:59476 
12-18 16:57:54.055 D/pcapcmcc4( 3047): reset pkg_num!
12-18 16:57:54.056 I/System.out( 3605): D Tag:PushHandle msg:bean.authData.serverHost:183.235.11.120:13000,183.235.11.121:13000,183.235.11.122:13000,183.235.11.123:13000,183.235.11.124:13000,183.235.11.125:13000,183.235.11.86:13000,183.235.11.87:13000,183.235.11.88:13000,183.235.11.89:13000,183.235.11.90:13000,183.235.11.91:13000,183.235.11.92:13000,183.235.11.93:13000
12-18 16:57:54.056 I/System.out( 3605): D Tag:PushHandle msg:serverHosts length:14
12-18 16:57:54.056 I/System.out( 3605): D Tag:PushHandle msg:serverHosts:[183.235.11.120:13000, 183.235.11.121:13000, 183.235.11.122:13000, 183.235.11.123:13000, 183.235.11.124:13000, 183.235.11.125:13000, 183.235.11.86:13000, 183.235.11.87:13000, 183.235.11.88:13000, 183.235.11.89:13000, 183.235.11.90:13000, 183.235.11.91:13000, 183.235.11.92:13000, 183.235.11.93:13000]
12-18 16:57:54.056 I/System.out( 3605): D Tag:PushHandle msg:Random:5
12-18 16:57:54.056 I/System.out( 3605): D Tag:PushHandle msg:tcpAddressIndex:5
12-18 16:57:54.056 I/System.out( 3605): D Tag:PushHandle msg:serverAddress:183.235.11.125:13000
12-18 16:57:54.057 I/System.out( 3605): D Tag:PushHandle msg:allocServer:null
12-18 16:57:54.057 I/System.out( 3605): D Tag:PushHandle msg:deviceId:ydtest5
12-18 16:57:54.057 I/System.out( 3605): D Tag:PushHandle msg:cid:ydtest5
12-18 16:57:54.057 I/System.out( 3605): D Tag:PushHandle msg:tcpServerHost:183.235.11.125
12-18 16:57:54.057 I/System.out( 3605): D Tag:PushHandle msg:tcpServerPost:13000
12-18 16:57:54.066 I/System.out( 3002): RxCache: ProcessorProvidersBehaviour-getDataFromLoader
12-18 16:57:54.066 I/System.out( 3002): RxCache: ProcessorProvidersBehaviour-getDataFromLoader clear cache before save data
12-18 16:57:54.066 I/System.out( 3002): RxCache: ProcessorProvidersBehaviour-getDataFromLoader save data
12-18 16:57:54.069 I/System.out( 3605): D Tag:HRPush msg:client == 1 
12-18 16:57:54.069 I/System.out( 3605): D Tag:HRPush msg:client == 2
12-18 16:57:54.069 I/System.out( 3605): D Tag:HRPush msg:client == 3
12-18 16:57:54.070 I/System.out( 3002): RxCache: Disk-save- key:index-section$d$d$d$http://183.235.11.39:8082/epg/api/page/biz_00892473.json$g$g$g$
12-18 16:57:54.080 I/bt-hci  ( 3446): BLE HCI(id=62) event = 0x02)
12-18 16:57:54.080 I/bt-hci  ( 3446): btu_ble_process_adv_pkt
12-18 16:57:54.081 D/BtGatt.btif( 3446): btif_gattc_upstreams_evt: Event 4096
12-18 16:57:54.081 D/BtGatt.GattService( 3446): onScanResult() - address=3C:51:6B:67:6F:E9, rssi=-68
12-18 16:57:54.081 D/BluetoothAdapter( 3577): onScanResult() - Device=3C:51:6B:67:6F:E9 RSSI=-68
12-18 16:57:54.083 D/dalvikvm( 3605): GC_CONCURRENT freed 930K, 22% free 3589K/4564K, paused 2ms+3ms, total 24ms
12-18 16:57:54.083 D/dalvikvm( 3605): WAIT_FOR_CONCURRENT_GC blocked 14ms
12-18 16:57:54.083 D/dalvikvm( 3605): WAIT_FOR_CONCURRENT_GC blocked 7ms
12-18 16:57:54.089 I/System.out( 3605): D Tag:HooReport msg:HttpURLConnection requrl=http://183.235.11.107:9090/report/bind/page_view_epg?log=V1.1%7C20201218165754%7C2.52%7Cydtest5%7Cydtest5%7C24400%7Cnull%7Cnull%7Cnull%7Cnullcode==200
12-18 16:57:54.094 I/System.out( 3605): W Tag:HRPush msg:warn:do start client ...
12-18 16:57:54.094 I/System.out( 3605): D Tag:HRPush msg:client == 4
12-18 16:57:54.094 I/System.out( 3605): D Tag:HRPush msg:client  == 5 
12-18 16:57:54.095 I/System.out( 3605): D Tag:InteractionHandle msg:actionLoginServer-http://183.235.11.103:9000/
12-18 16:57:54.095 I/System.out( 3605): W Tag:HRPush msg:warn:try connect server [183.235.11.125:13000]
12-18 16:57:54.096 I/System.out( 3605): D Tag:InteractionHandle msg:actionLoginServer-{virtual=1, operatorCode=24400, cid=ydtest5, STBType=, deviceId=ydtest5}
12-18 16:57:54.102 I/System.out( 3605): D Tag:HotFixHandel msg:---1--UpgradeBean==com.hooray.hotfix.model.UpgradeBean@41bb2178
12-18 16:57:54.102 I/System.out( 3605): D Tag:HotFixHandel msg:-2----UpgradeBean==com.hooray.hotfix.model.UpgradeBean$Data@41bb2288
12-18 16:57:54.102 I/System.out( 3605): D Tag:HotFixHandel msg:-3----UpgradeBean==null
12-18 16:57:54.102 I/System.out( 3605): D Tag:HotFixHandel msg:-3----UpgradeBean==0
12-18 16:57:54.103 D/pcapcmcc4( 3047): add_tcp_node_to_list_new:47052 
12-18 16:57:54.103 D/pcapcmcc4( 3047): reset pkg_num!
12-18 16:57:54.124 I/System.out( 3605): D Tag:InteractionHandle msg:actionLoginServer====success==1=
12-18 16:57:54.124 I/System.out( 3605): D Tag:InteractionHandle msg:actionLoginServer====success=2=={"body":{"userId":12356444,"cid":"ydtest5","operatorCode":"24400","deviceId":"ydtest5","groupCode":null,"virtual":null,"status":null,"protocolStatus":null,"liveMessageFlag":null,"alineFlag":null,"toRealuserTime":null,"registerDate":null,"lastLoginTime":1608281874077,"updateTime":null,"remark":null,"extend":null,"ownerType":null},"header":{"rc":"0","rm":"成功"}}
12-18 16:57:54.124 I/System.out( 3605): D Tag:InteractionHandle msg:actionLoginServer====success==3=
12-18 16:57:54.157 D/dalvikvm( 3605): GC_CONCURRENT freed 561K, 14% free 4045K/4656K, paused 1ms+3ms, total 22ms
12-18 16:57:54.157 D/dalvikvm( 3605): WAIT_FOR_CONCURRENT_GC blocked 11ms
12-18 16:57:54.167 D/pcapcmcc4( 3047): add_tcp_node_to_list_new:37148 
12-18 16:57:54.167 D/pcapcmcc4( 3047): reset pkg_num!
12-18 16:57:54.167 I/LauncherActivity( 3002): PrintLog:	PreloadHomeDataTask finish
12-18 16:57:54.175 I/System.out( 3605): W Tag:HRPush msg:warn:connect server ok [183.235.11.125:13000]
12-18 16:57:54.176 I/System.out( 3605): W Tag:HRPush msg:warn:connection connected !!!
12-18 16:57:54.177 I/System.out( 3605): D Tag:HRPush msg:ClientListener onConnected 
12-18 16:57:54.183 I/System.out( 3605): W Tag:HRPush msg:warn:<<< do handshake, message=HandshakeMessage{sessionId=1, deviceId='ydtest5', osName='android', osVersion='4.4.2', clientVersion='2.52', iv=[13, 104, -103, -94, 125, 0, -112, -128, -88, -123, -18, -122, -12, 3, -124, 38], clientKey=[-56, -48, -96, -75, -30, -108, 93, -5, 98, -29, 20, -126, -16, -5, 73, 44], minHeartbeat=240000, maxHeartbeat=240000, timestamp=0}
12-18 16:57:54.184 I/System.out( 3605): D Tag:HRPush msg:debug:write packet end, packet=2, costTime=1
12-18 16:57:54.198 I/System.out( 3605): D Tag:HRPush msg:debug:receive one ack response, sessionId=1, costTime=16, request=Packet{cmd=2, cc=0, flags=1, sessionId=1, lrc=0, body=128}, response=Packet{cmd=2, cc=0, flags=1, sessionId=1, lrc=0, body=80}
12-18 16:57:54.200 I/System.out( 3605): W Tag:HRPush msg:warn:>>> handshake ok message=HandshakeOkMessage{serverKey=[65, 39, 103, -77, -20, -88, -82, 86, -102, 1, 108, 37, 93, 70, -71, -112], heartbeat=300000, sessionId='87286c3ad4a668a2721576e3e17c451a', expireTime=1608368274157}
12-18 16:57:54.200 I/System.out( 3605): D Tag:HRPush msg:ClientListener onHandshakeOk delay300000
12-18 16:57:54.201 I/System.out( 3605): W Tag:HRPush msg:warn:<<< do bind user, userId=ydtest5
12-18 16:57:54.202 I/System.out( 3605): D Tag:HRPush msg:debug:write packet end, packet=5, costTime=1
12-18 16:57:54.211 I/System.out( 3605): D Tag:HRPush msg:debug:receive one ack response, sessionId=2, costTime=10, request=Packet{cmd=5, cc=0, flags=1, sessionId=2, lrc=0, body=16}, response=Packet{cmd=11, cc=0, flags=0, sessionId=2, lrc=0, body=16}
12-18 16:57:54.212 I/System.out( 3605): D Tag:HRPush msg:ClientListener onBind ydtest5
12-18 16:57:54.212 I/System.out( 3605): W Tag:HRPush msg:warn:>>> receive ok message=OkMessage{cmd=5, code=0, data='bind success'}
12-18 16:57:54.323 D/ADBThread( 2770): Worker run() interrupt
12-18 16:57:54.329 W/ContextImpl( 2770): Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1589 android.content.ContextWrapper.startService:494 com.iflytek.xiri.system.ControlService$6.run:369 java.util.concurrent.Executors$RunnableAdapter.call:422 java.util.concurrent.FutureTask.runAndReset:279 
12-18 16:57:54.359 I/bt-hci  ( 3446): BLE HCI(id=62) event = 0x02)
12-18 16:57:54.359 I/bt-hci  ( 3446): btu_ble_process_adv_pkt
12-18 16:57:54.359 W/bt-btm  ( 3446): scan_type:1, evt_type:0
12-18 16:57:54.367 I/LauncherActivity( 3002): PrintLog:	PreloadStartupPictureTask finish
12-18 16:57:54.379 I/        ( 1585): transcode 39 flags 16
12-18 16:57:54.379 I/        ( 1585): transcode 39 flags 16
12-18 16:57:54.381 I/SurfaceView( 3002): surface type is: 3
12-18 16:57:54.385 I/dalvikvm( 3002): Could not find method android.widget.TextView.getAutoSizeMaxTextSize, referenced from method android.support.v7.widget.AppCompatTextView.getAutoSizeMaxTextSize
12-18 16:57:54.385 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22179: Landroid/widget/TextView;.getAutoSizeMaxTextSize ()I
12-18 16:57:54.385 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0004
12-18 16:57:54.385 I/dalvikvm( 3002): Could not find method android.widget.TextView.getAutoSizeMinTextSize, referenced from method android.support.v7.widget.AppCompatTextView.getAutoSizeMinTextSize
12-18 16:57:54.385 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22180: Landroid/widget/TextView;.getAutoSizeMinTextSize ()I
12-18 16:57:54.385 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0004
12-18 16:57:54.385 I/dalvikvm( 3002): Could not find method android.widget.TextView.getAutoSizeStepGranularity, referenced from method android.support.v7.widget.AppCompatTextView.getAutoSizeStepGranularity
12-18 16:57:54.385 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22181: Landroid/widget/TextView;.getAutoSizeStepGranularity ()I
12-18 16:57:54.385 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0004
12-18 16:57:54.385 I/dalvikvm( 3002): Could not find method android.widget.TextView.getAutoSizeTextAvailableSizes, referenced from method android.support.v7.widget.AppCompatTextView.getAutoSizeTextAvailableSizes
12-18 16:57:54.385 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22182: Landroid/widget/TextView;.getAutoSizeTextAvailableSizes ()[I
12-18 16:57:54.385 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0004
12-18 16:57:54.385 I/dalvikvm( 3002): Could not find method android.widget.TextView.getAutoSizeTextType, referenced from method android.support.v7.widget.AppCompatTextView.getAutoSizeTextType
12-18 16:57:54.385 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22183: Landroid/widget/TextView;.getAutoSizeTextType ()I
12-18 16:57:54.385 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0005
12-18 16:57:54.386 I/dalvikvm( 3002): Could not find method android.widget.TextView.setAutoSizeTextTypeUniformWithConfiguration, referenced from method android.support.v7.widget.AppCompatTextView.setAutoSizeTextTypeUniformWithConfiguration
12-18 16:57:54.386 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22256: Landroid/widget/TextView;.setAutoSizeTextTypeUniformWithConfiguration (IIII)V
12-18 16:57:54.386 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0004
12-18 16:57:54.386 I/dalvikvm( 3002): Could not find method android.widget.TextView.setAutoSizeTextTypeUniformWithPresetSizes, referenced from method android.support.v7.widget.AppCompatTextView.setAutoSizeTextTypeUniformWithPresetSizes
12-18 16:57:54.386 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22257: Landroid/widget/TextView;.setAutoSizeTextTypeUniformWithPresetSizes ([II)V
12-18 16:57:54.386 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0004
12-18 16:57:54.386 I/dalvikvm( 3002): Could not find method android.widget.TextView.setAutoSizeTextTypeWithDefaults, referenced from method android.support.v7.widget.AppCompatTextView.setAutoSizeTextTypeWithDefaults
12-18 16:57:54.386 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22258: Landroid/widget/TextView;.setAutoSizeTextTypeWithDefaults (I)V
12-18 16:57:54.386 D/dalvikvm( 3002): VFY: replacing opcode 0x6f at 0x0004
12-18 16:57:54.387 I/dalvikvm( 3002): Could not find method android.content.res.Resources.getDrawable, referenced from method android.support.v7.widget.ResourcesWrapper.getDrawable
12-18 16:57:54.387 W/dalvikvm( 3002): VFY: unable to resolve virtual method 1081: Landroid/content/res/Resources;.getDrawable (ILandroid/content/res/Resources$Theme;)Landroid/graphics/drawable/Drawable;
12-18 16:57:54.387 D/dalvikvm( 3002): VFY: replacing opcode 0x6e at 0x0002
12-18 16:57:54.388 I/dalvikvm( 3002): Could not find method android.content.res.Resources.getDrawableForDensity, referenced from method android.support.v7.widget.ResourcesWrapper.getDrawableForDensity
12-18 16:57:54.388 W/dalvikvm( 3002): VFY: unable to resolve virtual method 1083: Landroid/content/res/Resources;.getDrawableForDensity (IILandroid/content/res/Resources$Theme;)Landroid/graphics/drawable/Drawable;
12-18 16:57:54.388 D/dalvikvm( 3002): VFY: replacing opcode 0x6e at 0x0002
12-18 16:57:54.391 I/dalvikvm( 3002): Could not find method android.content.res.TypedArray.getChangingConfigurations, referenced from method android.support.v7.widget.TintTypedArray.getChangingConfigurations
12-18 16:57:54.391 W/dalvikvm( 3002): VFY: unable to resolve virtual method 1118: Landroid/content/res/TypedArray;.getChangingConfigurations ()I
12-18 16:57:54.391 D/dalvikvm( 3002): VFY: replacing opcode 0x6e at 0x0002
12-18 16:57:54.392 I/dalvikvm( 3002): Could not find method android.content.res.TypedArray.getType, referenced from method android.support.v7.widget.TintTypedArray.getType
12-18 16:57:54.392 W/dalvikvm( 3002): VFY: unable to resolve virtual method 1140: Landroid/content/res/TypedArray;.getType (I)I
12-18 16:57:54.392 D/dalvikvm( 3002): VFY: replacing opcode 0x6e at 0x0008
12-18 16:57:54.393 I/AMTUPGRADE( 2701): StrategyPoweroffProtection >>> 
12-18 16:57:54.393 D/AMTUPGRADE( 2701): getFileDetailByName > key : DOWNLOADING, result : null
12-18 16:57:54.393 I/AMTUPGRADE( 2701): temp is null
12-18 16:57:54.393 I/AMTUPGRADE( 2701): isResumeDownload : false, supportBootUpgrade : true
12-18 16:57:54.393 I/AMTUPGRADE( 2701): The upgrade url from system prop is invalid... do nothing...
12-18 16:57:54.394 I/dalvikvm( 3002): Could not find method android.widget.TextView.getAutoSizeStepGranularity, referenced from method android.support.v7.widget.AppCompatTextHelper.loadFromAttributes
12-18 16:57:54.394 W/dalvikvm( 3002): VFY: unable to resolve virtual method 22181: Landroid/widget/TextView;.getAutoSizeStepGranularity ()I
12-18 16:57:54.394 D/dalvikvm( 3002): VFY: replacing opcode 0x6e at 0x0166
12-18 16:57:54.397 I/dalvikvm( 3002): Could not find method android.text.StaticLayout$Builder.obtain, referenced from method android.support.v7.widget.AppCompatTextViewAutoSizeHelper.createStaticLayoutForMeasuring
12-18 16:57:54.397 W/dalvikvm( 3002): VFY: unable to resolve static method 19378: Landroid/text/StaticLayout$Builder;.obtain (Ljava/lang/CharSequence;IILandroid/text/TextPaint;I)Landroid/text/StaticLayout$Builder;
12-18 16:57:54.397 D/dalvikvm( 3002): VFY: replacing opcode 0x71 at 0x0013
12-18 16:57:54.401 I/dalvikvm( 3002): Could not find method android.content.Context.getColorStateList, referenced from method android.support.v7.content.res.AppCompatResources.getColorStateList
12-18 16:57:54.401 W/dalvikvm( 3002): VFY: unable to resolve virtual method 830: Landroid/content/Context;.getColorStateList (I)Landroid/content/res/ColorStateList;
12-18 16:57:54.401 D/dalvikvm( 3002): VFY: replacing opcode 0x6e at 0x0006
12-18 16:57:54.424 D/pcapcmcc4( 3047): add_tcp_node_to_list_new:45509 
12-18 16:57:54.424 D/pcapcmcc4( 3047): reset pkg_num!
12-18 16:57:54.447 E/AdvertisementManager( 3002): handleHttpAdvertisementResult adlist is null or empty
12-18 16:57:54.567 I/LauncherActivity( 3002): PrintLog:	BootAdvertisementAsyncTask finish
12-18 16:57:54.570 I/dalvikvm( 3002): Could not find method android.provider.Settings.canDrawOverlays, referenced from method cn.gd.snm.startupimage.d.f
12-18 16:57:54.570 W/dalvikvm( 3002): VFY: unable to resolve static method 2326: Landroid/provider/Settings;.canDrawOverlays (Landroid/content/Context;)Z
12-18 16:57:54.570 D/dalvikvm( 3002): VFY: replacing opcode 0x71 at 0x000d
12-18 16:57:54.571 I/dalvikvm( 3002): Could not find method android.provider.Settings.canDrawOverlays, referenced from method cn.gd.snm.startupimage.d.b
12-18 16:57:54.571 W/dalvikvm( 3002): VFY: unable to resolve static method 2326: Landroid/provider/Settings;.canDrawOverlays (Landroid/content/Context;)Z
12-18 16:57:54.571 D/dalvikvm( 3002): VFY: replacing opcode 0x71 at 0x0011
12-18 16:57:54.571 I/LauncherActivity( 3002): PrintLog:	AuthenticationAsyncTask finish
12-18 16:57:54.572 I/LauncherActivity( 3002): startup==> jumpToHomeActivity!	#Intent;action=android.intent.action.MAIN;component=cn.gd.snm.snmcm/.LauncherActivity;end
12-18 16:57:54.572 I/LauncherActivity( 3002): LauncherActivity#jumpToHomeActivity- 	false
12-18 16:57:54.572 I/OttService( 3002): OttService#setCurrentUserMode	cn.gd.snm.snmcm.OTTApplication@41aa11b0
12-18 16:57:54.578 I/bt-hci  ( 3446): BLE HCI(id=62) event = 0x02)
12-18 16:57:54.578 I/bt-hci  ( 3446): btu_ble_process_adv_pkt
12-18 16:57:54.578 W/bt-btm  ( 3446): scan_type:1, evt_type:0
12-18 16:57:54.578 I/bt-hci  ( 3446): BLE HCI(id=62) event = 0x02)
12-18 16:57:54.578 I/bt-hci  ( 3446): btu_ble_process_adv_pkt
12-18 16:57:54.578 D/BtGatt.btif( 3446): btif_gattc_upstreams_evt: Event 4096
12-18 16:57:54.578 D/BtGatt.GattService( 3446): onScanResult() - address=43:4D:86:4A:67:FB, rssi=-76
12-18 16:57:54.578 D/BluetoothAdapter( 3577): onScanResult() - Device=43:4D:86:4A:67:FB RSSI=-76
12-18 16:57:54.631 D/pcapcmcc4( 3047): current transaction_id    5817 
12-18 16:57:54.642 I/xwj     ( 2321): START_ACTIVITY_TRANSACTION:cn.gd.snm.snmcm
12-18 16:57:54.642 D/ActivityManager_sgc( 2321): use this startActivity method
12-18 16:57:54.642 D/ActivityManager( 2321): callingPackage is cn.gd.snm.snmcm
12-18 16:57:54.643 I/ActivityManager( 2321): START u0 {cmp=cn.gd.snm.snmcm/.home.HomeActivity (has extras)} from pid 3002
12-18 16:57:54.645 I/xwj     ( 2321): result:0
12-18 16:57:54.657 E/Window  ( 3002): ==leo remove HardwareAccelerated for cn.gd.snm.snmcm/cn.gd.snm.snmcm.home.HomeActivity
12-18 16:57:54.658 D/AndroidAutoSize( 3002): cn.gd.snm.snmcm.home.HomeActivity used the global configuration.
12-18 16:57:54.658 D/AndroidAutoSize( 3002): The cn.gd.snm.snmcm.home.HomeActivity has been adapted! 
12-18 16:57:54.658 D/AndroidAutoSize( 3002): HomeActivity Info: isBaseOnWidth = true, designWidthInDp = 1280.000000, designWidthInSubunits = 1280.000000, targetDensity = 1.500000, targetScaledDensity = 1.500000, targetDensityDpi = 240, targetXdpi = 1.500000, targetScreenWidthDp = 1280, targetScreenHeightDp = 720
12-18 16:57:54.672 I/dalvikvm( 3002): Could not find method android.widget.FrameLayout.<init>, referenced from method cn.gd.snm.page.index.HomePageBackgroundView.<init>
12-18 16:57:54.672 W/dalvikvm( 3002): VFY: unable to resolve direct method 21181: Landroid/widget/FrameLayout;.<init> (Landroid/content/Context;Landroid/util/AttributeSet;II)V
12-18 16:57:54.672 D/dalvikvm( 3002): VFY: replacing opcode 0x70 at 0x0000
12-18 16:57:54.681 I/        ( 1585): transcode 39 flags 16
12-18 16:57:54.682 I/        ( 1585): transcode 39 flags 16
12-18 16:57:54.682 I/SurfaceView( 3002): surface type is: 3
12-18 16:57:54.683 I/NativeVideoView_1112855272( 3002): NativeVideoView#stop
12-18 16:57:54.685 I/AmtVideoView_1116866248( 3002): AmtVideoView#init
12-18 16:57:54.685 I/        ( 1585): transcode 39 flags 16
12-18 16:57:54.686 I/        ( 1585): transcode 39 flags 16
12-18 16:57:54.718 I/bt-hci  ( 3446): BLE HCI(id=62) event = 0x02)
12-18 16:57:54.718 I/bt-hci  ( 3446): btu_ble_process_adv_pkt
12-18 16:57:54.719 D/BtGatt.btif( 3446): btif_gattc_upstreams_evt: Event 4096
12-18 16:57:54.719 D/BtGatt.GattService( 3446): onScanResult() - address=18:3A:D1:B0:A0:2D, rssi=-68
12-18 16:57:54.719 D/BluetoothAdapter( 3577): onScanResult() - Device=18:3A:D1:B0:A0:2D RSSI=-68
12-18 16:57:54.740 D/dalvikvm( 3002): GC_FOR_ALLOC freed 3003K, 25% free 15171K/20156K, paused 51ms, total 51ms
12-18 16:57:54.743 I/dalvikvm-heap( 3002): Grow heap (frag case) to 16.306MB for 1520080-byte allocation
12-18 16:57:54.750 D/skia    ( 3002): ---- fAsset->read(1024) returned 0
12-18 16:57:54.750 D/skia    ( 3002): ---- fAsset->read(1024) returned 0
12-18 16:57:54.787 I/ActivityManager( 2321): Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=3693 uid=10000 gids={50000, 1028, 1015, 1023, 2001, 1035}
12-18 16:57:54.788 E/Environment( 3693): canonicalPath = /mnt/sdcard
12-18 16:57:54.791 I/PackageManager( 2321): Running dexopt on: com.android.defcontainer
12-18 16:57:54.791 E/installd( 1576): value = false 
12-18 16:57:54.792 D/dalvikvm( 3002): GC_FOR_ALLOC freed 79K, 24% free 16575K/21644K, paused 49ms, total 49ms
12-18 16:57:54.799 D/dalvikvm( 1573): GC_EXPLICIT freed 43K, 8% free 3207K/3452K, paused 2ms+2ms, total 20ms
12-18 16:57:54.813 D/dalvikvm( 3131): GC_CONCURRENT freed 1426K, 26% free 4216K/5688K, paused 2ms+7ms, total 45ms
12-18 16:57:54.816 D/dalvikvm( 3706): Unable to stat classpath element '/system/framework/telephony-common.jar'
12-18 16:57:54.816 D/dalvikvm( 3706): Unable to stat classpath element '/system/framework/mms-common.jar'
12-18 16:57:54.817 D/dalvikvm( 1573): GC_EXPLICIT freed <1K, 8% free 3207K/3452K, paused 1ms+2ms, total 18ms
12-18 16:57:54.834 D/dalvikvm( 3706): DexOpt: load 5ms, verify+opt 7ms, 201844 bytes
12-18 16:57:54.834 D/dalvikvm( 1573): GC_EXPLICIT freed <1K, 8% free 3207K/3452K, paused 1ms+1ms, total 17ms
12-18 16:57:54.844 E/installd( 1576): value = false 
12-18 16:57:54.851 I/bt-hci  ( 3446): BLE HCI(id=62) event = 0x02)
12-18 16:57:54.851 I/bt-hci  ( 3446): btu_ble_process_adv_pkt
12-18 16:57:54.851 W/bt-btm  ( 3446): scan_type:1, evt_type:0
12-18 16:57:54.852 I/bt-hci  ( 3446): BLE HCI(id=62) event = 0x02)
12-18 16:57:54.852 I/bt-hci  ( 3446): btu_ble_process_adv_pkt
12-18 16:57:54.852 D/BtGatt.btif( 3446): btif_gattc_upstreams_evt: Event 4096
12-18 16:57:54.852 D/BtGatt.GattService( 3446): onScanResult() - address=43:4D:86:4A:67:FB, rssi=-70
12-18 16:57:54.853 D/BluetoothAdapter( 3577): onScanResult() - Device=43:4D:86:4A:67:FB RSSI=-70
12-18 16:57:54.862 D/dalvikvm( 3002): GC_FOR_ALLOC freed 54K, 24% free 16556K/21644K, paused 50ms, total 50ms
12-18 16:57:54.864 I/dalvikvm-heap( 3002): Grow heap (frag case) to 17.475MB for 1327120-byte allocation
12-18 16:57:54.866 E/installd( 1576): value = false 
12-18 16:57:54.866 E/installd( 1576): value = false 
12-18 16:57:54.868 E/Environment( 2321): canonicalPath = /mnt/sdcard
12-18 16:57:54.876 E/installd( 1576): value = false 
12-18 16:57:54.876 E/installd( 1576): value = false 
12-18 16:57:54.877 E/Environment( 2321): canonicalPath = /mnt/sdcard
12-18 16:57:54.881 E/installd( 1576): value = false 
12-18 16:57:54.881 E/installd( 1576): value = false 
12-18 16:57:54.882 E/Environment( 2321): canonicalPath = /mnt/sdcard
12-18 16:57:54.887 E/installd( 1576): value = false 
12-18 16:57:54.887 E/installd( 1576): value = false 
12-18 16:57:54.888 D/AMTIPTV ( 2812): AmtDataService > getString>MAC:58:b4:2d:d8:b2:6c, extData : 
12-18 16:57:54.888 E/Environment( 2321): canonicalPath = /mnt/sdcard
12-18 16:57:54.888 D/AMTData ( 2783): AmtIDataService_AMTDATA > getString>MAC:58:b4:2d:d8:b2:6c, extData : 
12-18 16:57:54.890 E/installd( 1576): value = false 
12-18 16:57:54.890 E/installd( 1576): value = false 
12-18 16:57:54.891 E/Environment( 2321): canonicalPath = /mnt/sdcard
